User_Name,Link,Uploads,Subscribers,Video_Views,Country,Channel_Type,User_Created_Date
翔麟,https://youtube.com/channel/UC70PeB5nrFIxbJrpqvBkaMw,1978,638545,298831272,TW,Games,20111006
搞神馬,https://youtube.com/channel/UCAsviiS5DE0pcuvxPRrrAzQ,163,615839,86076171,TW,People,20171123
英雄日常Heroisme,https://youtube.com/channel/UCRNsqNFhDF8exJpwQuCOXqw,946,593860,184939275,TW,People,20141010
民視戲劇館,https://youtube.com/channel/UCiMiEL1XRXANaypB2wEdr5w,7576,590355,1127858025,TW,Entertainment,20120911
小白,https://youtube.com/channel/UCAB7g-EUHjuaAliqShDOvNg,1586,585887,150370556,TW,Games,20120201
黃大謙,https://youtube.com/channel/UCgDQKFV2rMNzTE8Y3rHMVbQ,114,571636,61052366,TW,Comedy,20130826
Jay Lee Painting & Charlie's Vlog,https://youtube.com/channel/UCHm9SiOLG8UoBT8STWY5mVA,279,564603,40963635,TW,Education,20130505
腦補給,https://youtube.com/channel/UCk0TqVyUcT3VDYzF2A8MvCw,205,563031,99527943,TW,,20170405
Odd Cactus,https://youtube.com/channel/UCTRpM-tjQqa_zPN7cm8LqZw,342,557627,137500185,TW,Entertainment,20160426
蠢蠢,https://youtube.com/channel/UCJMjp_3XLlQJg6pPfuD4L1Q,1904,540938,191488079,TW,Games,20140805
超粒方,https://youtube.com/channel/UC0Q-fBheHysYWz9ObSEzMdA,97,540166,24131796,TW,Film,20141017
GINA HELLO!,https://youtube.com/channel/UCSR9CHNMIg7YoNezbv4bh0A,294,538475,48629778,TW,Entertainment,20091215
冏星人,https://youtube.com/channel/UC1tp9qN7mqIJ7CLVNVvsKzg,137,538199,28932142,TW,Film,20130418
Songsen (宋聖),https://youtube.com/channel/UCHehutla_rZhGi23lrlczTA,411,536019,110800613,TW,Games,20111122
三立LIVE新聞,https://youtube.com/channel/UC2TuODJhC03pLgd6MpWP0iw,66764,525796,688803812,TW,News,20130730
黑男,https://youtube.com/channel/UCnMlG9P337rFzaJVly5EZDw,1150,523564,186508453,TW,Entertainment,20140513
SETN三立新聞網,https://youtube.com/channel/UCIU8ha-NHmLjtUwU7dFiXUA,46732,523130,947149470,TW,People,20140105
含羞草,https://youtube.com/channel/UCCrwpId4G9sRQjLHaUv90YA,222,518349,84913457,TW,Entertainment,20170503
YOYOTV,https://youtube.com/channel/UCiWRSesvSYmY7YOyz0tv_zQ,7412,515253,597492628,TW,Education,20091204
七不哒哒,https://youtube.com/channel/UCIQhxw3LvB6S-EAjSwSYAuA,2388,510042,232137934,TW,Entertainment,20110809
楊桃美食網,https://youtube.com/channel/UCctVKh07hVAyQtqpl75pxYA,2333,509355,171236183,TW,Howto,20130730
台灣蘋果日報,https://youtube.com/channel/UChLEhd2gouo1H-c9Zy9WGDA,54512,508967,955736259,TW,News,20101216
蔡佩軒 Ariel Tsai,https://youtube.com/channel/UCt1g7JuMPxb1NYRvn3JCA4Q,66,501176,84270147,TW,Music,20080804
BuBuChaCha 傳說,https://youtube.com/channel/UCe0J0Icrv2hGsyWWioBuStg,671,499744,144737809,TW,Games,20170415
馬叔叔 UNCLE MA,https://youtube.com/channel/UCvYrLM80D7-sQLSxIehqLEQ,460,490276,92840795,TW,Entertainment,20081205
小伶玩具 (Xiaoling Toys),https://youtube.com/channel/UC1krNaypYa_vx9W2Kvku8Xw,1287,489826,408066541,TW,Entertainment,20160305
台灣達人秀,https://youtube.com/channel/UCIECJyQ6meDyN-UnVHgXAMA,1064,485927,182323311,TW,Comedy,20121105
人生勝利組Life victory group,https://youtube.com/channel/UCX4RuNFRuzF-HEFUlPOZ-ZA,2033,483354,485913969,TW,Animals,20170217
少康戰情室,https://youtube.com/channel/UCLZBXiS9ZrIXgKBs_SMfGBQ,4953,483103,338406099,TW,News,20150827
館長成吉思汗,https://youtube.com/channel/UCnnp2fWa77PP2h08T7WAzzw,754,480582,70344167,TW,Sports,20071225
我愛小明星大跟班,https://youtube.com/channel/UCCiV0FmfqgLRC9zYjj1Q4IA,1460,477565,288298151,TW,Entertainment,20160108
蘇打綠 sodagreen,https://youtube.com/channel/UCrnX9veC-z_AErUn8D0GCkA,299,477026,372316168,TW,Music,20060723
百變沛莉 Peri,https://youtube.com/channel/UCrBq9GPtUdKaYpiTFY_E4VA,643,475608,53207742,TW,Howto,20080725
加點吉拿棒,https://youtube.com/channel/UCec6QE03CMLgtf0f1-uDdbw,366,471971,49497833,TW,Film,20170309
皮老,https://youtube.com/channel/UCwdLMfWu4X1QpbQJAEGJ1ig,1628,471411,122762588,TW,Games,20130605
觸電網 - 電影情報入口網,https://youtube.com/channel/UCMFYhD8q1axdmdVR30EDExA,3647,467110,467179663,TW,Film,20101102
台客劇場 TKstory,https://youtube.com/channel/UCghPiQIi_uyjF1YHKj-FhGw,213,457592,42281799,TW,Entertainment,20150311
眾量級CROWDxFUN生活,https://youtube.com/channel/UC9qPaWpCeczJC3yvwIGzX0w,83,457483,43098115,TW,Comedy,20170205
JerryFish Yang,https://youtube.com/channel/UCQsSb9olGaDXji48WtAUV3Q,1373,455513,205534782,TW,Sports,20160325
INFINI HD 4K ( dan201 ),https://youtube.com/channel/UCUFNaNGi3lnBPq4gtdfJCAA,23615,452466,396032794,TW,People,20060513
buycartv,https://youtube.com/channel/UC-MByr5LRnWmVN94Ija4XJg,1540,451025,186852957,TW,Autos,20070822
六六撩劇,https://youtube.com/channel/UC5UN6bXx6YV4r2QjBoTMmGA,7496,449792,291206881,TW,Film,20171106
三立台劇,https://youtube.com/channel/UCt0H6f2yOF26wi_Ng8HssJQ,5160,448621,526548375,TW,Entertainment,20150721
烏鴉DoKa TV,https://youtube.com/channel/UCcTT0U0ubAFRt5lRNiWZqIw,86,439408,54780772,TW,People,20111204
Show Lo's Official…,https://youtube.com/channel/UCuhagpMMr6Ipr5kTQfvnI2Q,210,438319,186750029,TW,Music,20051103
Dinter,https://youtube.com/channel/UC0SkNQXPJ60hKEFubOz0fDA,634,432057,168538473,TW,Games,20140702
I'm Charlie,https://youtube.com/channel/UCyD3eaCai2yyWZEuczgZ-fw,266,430029,48072159,TW,People,20151014
上班不要看 NSFW,https://youtube.com/channel/UCj_z-Zeqk8LfwVxx0MUdL-Q,297,429411,81026265,TW,Comedy,20151202
台灣華納日韓官方頻道,https://youtube.com/channel/UCWHlzo1HmN2McgpEuAORDzw,1267,427176,280245814,TW,Music,20121114
Vicky Tsai,https://youtube.com/channel/UCnuJ3NDByVdJDg0PjEs_AGw,272,425794,203981048,TW,Entertainment,20120826
那對夫妻,https://youtube.com/channel/UC4kXdDgmzrycOUk9ONnE03w,801,425036,167903483,TW,Music,20101205
TomoNews 台灣,https://youtube.com/channel/UC778cAEgKGDmh-teUWdg-uQ,6966,421191,92343396,TW,News,20091202
民視綜合頻道,https://youtube.com/channel/UC2VmWn8dAqkzlQqvy02E1PA,215238,419791,711252598,TW,News,20080805
Mii黃小米,https://youtube.com/channel/UCjZCm3uuhkCvTYE9txucVcw,296,415926,40766238,TW,Howto,20120413
巧克白,https://youtube.com/channel/UCrgy9P9zXErYmq_VPfOshfQ,317,415533,59921733,TW,Games,20131007
豪記唱片 HCM Music,https://youtube.com/channel/UCd7PrpU3WR60jMEZu4rCqzg,2650,413940,784930862,TW,Music,20130810
八大電視台娛樂百分百,https://youtube.com/channel/UCR2NvuBypJZl9n11qLAauWQ,4240,406588,188040364,TW,Entertainment,20121207
星期天,https://youtube.com/channel/UCChByo3iYdAtM54WzptEPkg,381,406178,39575001,TW,People,20080309
小草Yue,https://youtube.com/channel/UCxPNkrTa6JsmHvxBKYu4bwA,1367,406110,111662051,TW,Games,20100107
Eric周興哲,https://youtube.com/channel/UC7S48XRADBqamQbgLxpBFcQ,49,405807,395072380,TW,Music,20140804
Tiger TV,https://youtube.com/channel/UCL9woS_-y5vwAjgnft3YxkA,2255,402035,194035182,TW,,20170511
中華電視公司,https://youtube.com/channel/UCDCJyLpbfgeVE9iZiEam-Kg,172432,400675,621161910,TW,News,20070130
女人我最大,https://youtube.com/channel/UCKoS1r1M9eJBIPWXRat8uEA,7508,399435,219280380,TW,Entertainment,20150930
Garena 英雄聯盟,https://youtube.com/channel/UCekadoaN7x7g7FlmKg13jWg,872,397953,146414368,TW,Games,20101220
雙胞胎軒軒釩釩,https://youtube.com/channel/UCURX1CCZLpK0JthHWm3ib9A,47,396010,101461113,TW,People,20140427
VS MEDIA Taiwan,https://youtube.com/channel/UCiYZw0h6hA5ENlPhTZFTHTA,3223,395837,121154383,TW,Entertainment,20150518
碰碰狐 (兒童兒歌・故事),https://youtube.com/channel/UCrLO-yoAu4ZTzRSdmWqS53A,665,394763,183805412,TW,Education,20140306
Garena eSports,https://youtube.com/channel/UCCqnLewexMM7LwGzqpMpPrA,4445,388147,232344381,TW,Games,20100623
胡子Huzi,https://youtube.com/channel/UC9YOQFPfEUXbulKDtxeqqBA,97,386960,42945831,TW,Entertainment,20161220
R-chord謝和弦,https://youtube.com/channel/UCzlbQkl8zRJW2LTW25oU0-g,76,384041,292522275,TW,Music,20071030
UNDER LOVER,https://youtube.com/channel/UCOTwWD74z-HLTkzsHnkMBgg,124,380694,248109896,TW,Music,20080722
LNG 實況存檔,https://youtube.com/channel/UCKngQgSGHd3Hp3nkPs15YSA,540,378856,144151651,TW,Comedy,20120908
遊戲大聯盟,https://youtube.com/channel/UCKGkddRGEejDcNPPqj9-HcQ,1536,374359,195948066,TW,Games,20130615
阿啾小劇場,https://youtube.com/channel/UCdz-LcN65kBCBrQVGw4ZEmQ,298,374110,83958379,TW,Comedy,20120221
Fitting Room TW,https://youtube.com/channel/UChMD47wga5QpBnplqBb2x8A,495,374071,34644992,TW,Sports,20161007
花花与三猫 Cat Live,https://youtube.com/channel/UCzlp2uazpgM6Tpm4kj9rqSA,85,370416,80965181,TW,,20170303
蔡依林官方專屬頻道 Jolin…,https://youtube.com/channel/UCZxdOVXIBEnJUQkhZgeOTTg,144,369856,242082448,TW,Music,20060104
林辰Buchi,https://youtube.com/channel/UCgHUl1pwUVfrX8QotB-t2gQ,113,366245,20737537,TW,Entertainment,20080909
靠杯星球 Fun Planet,https://youtube.com/channel/UCopwutkKMLyT58fJh3ZqLZA,325,362484,77868550,TW,Comedy,20141031
阿斗归来了,https://youtube.com/channel/UCohOr1LlszMeXkSPCU9T2ng,221,362084,116308961,TW,People,20160607
台灣索尼音樂 Sony Music…,https://youtube.com/channel/UCFtUq0ml-coWmD70Pt_urRA,1206,361494,263038471,TW,Music,20100308
中視新聞,https://youtube.com/channel/UCO3bfz4KY6zGT5IOaFJuxpA,116394,358931,491344877,TW,News,20140222
Eddie Music Studio,https://youtube.com/channel/UCt6u2Gr6RaQ-Ow3jp7Q6qOw,473,358200,108270286,TW,,20170905
TGOP 這群人私生活,https://youtube.com/channel/UCVwSuEeMi-w92Hx3xKfq0iw,105,355729,33484959,TW,Entertainment,20160525
解婕翎,https://youtube.com/channel/UCMy0L5Y-h0-s8t4XZs49gXw,473,355565,47913849,TW,Entertainment,20150908
羅小白 S.white 官方頻道,https://youtube.com/channel/UCYt4edni1As9kExL9Q0YEuA,1674,355236,70911116,TW,Entertainment,20110928
阿津,https://youtube.com/channel/UC6DsD2j3K3nJkO0ZuGwsIUA,3017,354686,156644035,TW,Games,20060920
黑羽,https://youtube.com/channel/UCUy-lBPiJYWXTvfYHiCb_-A,807,354061,69817076,TW,Entertainment,20130921
理科太太 Li Ke Tai Tai,https://youtube.com/channel/UCHfY_EOzB1i57hYLSw_rYMg,51,354147,10687812,TW,,20180608
ETtoday星光雲/官方平台,https://youtube.com/channel/UCX157UE-NdaUGQJDkQ-XKnw,2744,352785,251732258,TW,,20180111
牛叔说电影,https://youtube.com/channel/UCJP8p8a_w5qIQk5PAMNzz8Q,219,349865,109421832,TW,Entertainment,20160928
唐綺陽官方專屬頻道,https://youtube.com/channel/UCK7LdglLCApOTaylxX8hW2Q,516,346266,62141370,TW,People,20130731
巴哈姆特電玩瘋,https://youtube.com/channel/UC4c-wTOqEID-_vH4MhNs06w,8446,344795,165307650,TW,Games,20110415
人生魯宅x尊-第2頻道,https://youtube.com/channel/UC-ujeda5rDgCe-910J5keTg,10,344128,6162421,TW,People,20150712
好倫,https://youtube.com/channel/UCOmxt6hJpmwTHnDj0vkR2Ew,213,342438,41174761,TW,,20160527
JR Lee Radio,https://youtube.com/channel/UCH1jieeP7Ecpo4s-pPT9FWQ,192,341907,7852586,TW,People,20150911
嘎老師 Miss Ga,https://youtube.com/channel/UCJdMrdkCXs5FkR3DHlor81w,120,340359,15821660,TW,,20170518
茶杯,https://youtube.com/channel/UCwlQXZodb95PSBix8QWLI4Q,235,340248,57587213,TW,Games,20160630
Dream Chef Home…,https://youtube.com/channel/UCUz5OVO4aYhfur0R-TCaBtg,380,339969,57765742,TW,Howto,20120809
哇萨比抓马 WasabiDrama,https://youtube.com/channel/UCI6JZbv41E8csobYsXKobBQ,454,338430,145962098,TW,Film,20161222
梅伯,https://youtube.com/channel/UCclEnpUoaP35pnvWvYmnODA,67,329611,29895270,TW,Comedy,20130924
TomoNews Poland,https://youtube.com/channel/UCDA9Q2c3bU-UHJ_5Sg3JCNg,4334,329345,362981824,TW,People,20140507
食尚玩家,https://youtube.com/channel/UC00wMIWR48SYidE6jmpL7Qg,8115,326860,142168208,TW,Travel,20150930
舞秋風直播頻道,https://youtube.com/channel/UCH2utn-hlI2kTJMfUFZNmdQ,4200,326481,76398280,TW,Games,20130901
懶熊,https://youtube.com/channel/UCiw1PpoyhQ-CbgIgG_2_Jsg,288,325731,141056895,TW,Entertainment,20110805
Misa米砂,https://youtube.com/channel/UC7eS4Bto5It7gtO8IizfkOA,44,324389,20137640,TW,Howto,20100816
Sara Shang,https://youtube.com/channel/UCOa5IFY_zbL5UHkDjFNuYOw,151,323896,53152564,TW,People,20130511
Royz羅伊,https://youtube.com/channel/UCmz9AByDgj_tLgpXXQMhxJQ,93,322808,25286421,TW,Entertainment,20121201
阿晋,https://youtube.com/channel/UCa7KELKe1u9mQ5jWMdIB-HQ,231,322300,38696040,TW,Games,20140725
曾勝傑Saint life,https://youtube.com/channel/UCE-EAIGPHvrvjMgNI9EKh1w,77,321648,20786685,TW,Entertainment,20170811
Luke Martin,https://youtube.com/channel/UCp2dhjQXkhY1O40lj15JQzw,144,320506,47351643,TW,Travel,20120629
可可酒精,https://youtube.com/channel/UCqxRJpX52Q0nxcHf7hqdJMA,427,320026,42783431,TW,Travel,20140426
Gino 脖子,https://youtube.com/channel/UCDQtVMdAjGlko5hx-OIADPw,217,317093,61791394,TW,Comedy,20150704
魯蛋的頻道,https://youtube.com/channel/UC5G3hwgMUUlouYTgI_OVPuA,5894,315699,122671634,TW,Games,20111019
新聞深喉嚨,https://youtube.com/channel/UCdp5pYDJCpl5WFk3jFEjWHw,2186,314939,149304461,TW,News,20150831
MONROE夢露,https://youtube.com/channel/UCuzIc0_S6xqT7ORRuuzSWBw,233,314524,24563335,TW,People,20130119
親親2o音樂LîvË,https://youtube.com/channel/UCHO58jo7f8lJbrbWukIxfUQ,430,314086,15808585,TW,Music,20160819
江小M - SmallM ლ(⁰⊖⁰ლ),https://youtube.com/channel/UCmsVtCaQNb5lvmKpYaqZJTg,964,312585,40406143,TW,Games,20071224
電獺少女-女孩的科技日常,https://youtube.com/channel/UCAr4MVsPBKjhg5eLDDpbDFg,1056,309949,32977063,TW,Tech,20140605
KouKou Brothers 酷酷兄弟,https://youtube.com/channel/UC4SBHZXV4BY43Fv1y0vaXuw,487,309192,77028460,TW,Entertainment,20150321
Sunny&Yummy的玩具箱kids toys,https://youtube.com/channel/UC3hi3cz42bDrqozo8UkyU1A,1189,308749,372302760,TW,Education,20151022
東森綜合台,https://youtube.com/channel/UCet3uxeYnTk3n1acNCNlJgA,17635,307089,224802871,TW,Entertainment,20121117
東森超視,https://youtube.com/channel/UCL7bheTrjSa9wipFYHw_6gA,29689,305600,249720562,TW,Entertainment,20101119
AnDyWuMUSICLAND,https://youtube.com/channel/UCSjlTrPYRxwiNzjGiuZm0pg,104,304790,67431651,TW,Music,20151030
壹加壹 ILLY and LEAN,https://youtube.com/channel/UCmArFxfDybtCbo0Fa0Z2xxA,155,304265,28544872,TW,Comedy,20150619
C's English Corner 英文角落,https://youtube.com/channel/UCDHFwAm3jNzA1jyL8_Fb25w,65,300350,8964455,TW,Education,20151027
Rainie Yang's Official…,https://youtube.com/channel/UC_fW_2QuZldcT3FhCYQ_2vw,125,299512,198695806,TW,Music,20120723
Alan Channel / 阿倫頻道,https://youtube.com/channel/UCLh9M5KxWSlIqh2EC8ja_ug,623,298733,49110960,TW,People,20150224
葉式特工 Yes Ranger,https://youtube.com/channel/UCXpxKdZAiyUEaTkoCPpEZzg,127,298412,78518978,TW,Entertainment,20110926
瑀熙 Yuci,https://youtube.com/channel/UCjL1yWauBeI6WoQNVLyxwqQ,123,296765,22541654,TW,Games,20150503
DAZZLING,https://youtube.com/channel/UC6c_lz6LfUY79KMiC1tRMgw,127,296342,22362445,TW,Music,20120929
國家地理 National Geographic,https://youtube.com/channel/UCzuH3UncFcXOKrz4XOYARTw,1906,293932,20651761,TW,Tech,20081216
劉力穎 Liying Liu,https://youtube.com/channel/UC2sk23-OLSaoT977mmVOPAw,198,292065,29551879,TW,People,20130421
柯文哲,https://youtube.com/channel/UCllMvuz1DIPIoqNnur7_Pig,150,292003,19464525,TW,News,20140529
阿兜仔不教美語,https://youtube.com/channel/UCYgpfeq5JyEo_pPmu-4VLiA,546,290669,25584964,TW,Entertainment,20080101
18歲不睡,https://youtube.com/channel/UC0UX_EK8-UuBi-OrkmWB6eA,1563,290277,163408238,TW,Entertainment,20130510
心懸,https://youtube.com/channel/UCr-WySyjjaJ2-_0-Kb-480A,497,287948,79671967,TW,Comedy,20161218
LoganDBeck 小貝,https://youtube.com/channel/UCXpbSh6g1ZWHxk-UQv86VzA,225,284137,25905912,TW,Film,20120515
墨鏡哥SG,https://youtube.com/channel/UCpSB70OL7IO7RnZCj_7MQDw,604,283154,42138433,TW,,20120222
呱吉,https://youtube.com/channel/UC_XRq7JriAORvDe1lI1RAsA,181,283149,31349076,TW,,20110514
JasonChenAsia,https://youtube.com/channel/UCgjnr7bWvrYtSBtvbm2Pk5Q,89,282537,46143294,TW,Music,20111225
親子台momo,https://youtube.com/channel/UCbHD6HX38bufVR1pF076Z0g,5632,281877,279590748,TW,Entertainment,20121009
菜喳Live實況台,https://youtube.com/channel/UCm6K3TIQ_Mo5CJ-A-NZHLow,3173,280981,65183165,TW,Games,20130607
狠愛演,https://youtube.com/channel/UCnfPDcASesYjcO5u-ELnb-Q,293,279770,30000305,TW,People,20160815
MASAの料理ABC,https://youtube.com/channel/UCr90FXGOO8nAE9B6FAUeTNA,154,278156,14983180,TW,Howto,20100924
